 ,Volume (µm^3),Surface (µm^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (µm),SD dist. to surf. (µm),Median dist. to surf. (µm),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
172,97.781,188.913,0,315,136276,217,0,0,217,0,244.072,276.435,63.591,2.888,0,0,244.071,276.435,63.591,0,0,0,0,0,0
173,307.978,448.097,0,753,488566,247,0,0,247,0,179.341,297.791,70.772,5.012,0,0,179.342,297.790,70.772,0,0,0,0,0,0
174,252.081,337.193,0,703,359418,222,0,0,222,0,179.258,349.178,63.872,3.686,0,0,179.260,349.178,63.872,0,0,0,0,0,0
175,316.542,350.050,0,683,461491,227,0,0,227,0,163.579,251.631,64.249,4.080,0,0,163.581,251.631,64.249,0,0,0,0,0,0
176,114.285,196.408,0,339,167352,228,0,0,228,0,146.482,295.061,65.074,3.045,0,0,146.482,295.061,65.074,0,0,0,0,0,0
177,140.910,264.832,0,450,212675,235,0,0,235,0,183.979,279.062,66.230,3.311,0,0,183.980,279.062,66.230,0,0,0,0,0,0
178,146.671,267.699,0,469,205356,218,0,0,218,0,239.307,283.929,66.106,3.411,0,0,239.306,283.929,66.106,0,0,0,0,0,0
179,158.037,284.557,0,482,248675,245,0,0,245,0,215.854,344.635,70.876,3.543,0,0,215.853,344.635,70.876,0,0,0,0,0,0
180,108.836,204.423,0,348,175449,251,0,0,251,0,192.442,333.565,70.496,3.008,0,0,192.443,333.565,70.496,0,0,0,0,0,0
181,110.704,197.444,0,364,173484,244,0,0,244,0,200.506,339.886,69.508,2.931,0,0,200.506,339.886,69.508,0,0,0,0,0,0
182,251.614,312.238,0,570,404000,250,0,0,250,0,249.608,338.415,70.576,3.872,0,0,249.606,338.414,70.576,0,0,0,0,0,0
183,226.079,408.155,0,747,365904,252,0,0,252,0,151.904,343.738,70.759,4.005,0,0,151.904,343.738,70.759,0,0,0,0,0,0
184,152.899,285.577,0,500,245500,250,0,0,250,0,209.796,355.709,71.084,3.691,0,0,209.795,355.709,71.084,0,0,0,0,0,0
185,145.426,271.764,0,513,236302,253,0,0,253,0,164.702,338.978,73.951,3.452,0,0,164.702,338.978,73.951,0,0,0,0,0,0
